,Stock,Cr,FB,TaV,TaH,Pr,DB,Ro,A1,A2
RG1,1,1,1,0,0,0,0,0,0,0
RG2,1,1,1,0,0,0,0,0,0,0
RG3,0,0,1,1,0,0,0,0,0,0
RG4,0,0,0,1,0,0,0,0,1,0
RG5,0,0,1,0,1,0,0,0,0,0
RG6,0,0,0,0,1,0,0,0,1,0
RG7,0,0,0,0,0,1,0,0,1,0
RG8,0,0,0,0,0,1,0,0,0,1
RG9,0,1,0,0,0,0,1,0,0,1
RG10,0,0,0,0,0,0,1,0,0,1
RG11,0,1,0,0,0,0,1,0,0,0
RG12,0,0,0,0,0,0,0,1,1,0
RG13,0,0,0,0,0,0,0,1,0,1
RG14,0,0,0,0,0,0,0,1,1,1
RG15,0,0,0,0,0,0,0,1,1,0
RG16,0,0,0,0,0,0,0,1,0,1
RG17,0,0,0,0,0,1,0,1,1,0
RG18,0,0,0,0,0,1,0,1,0,1
RG19,0,0,0,1,0,0,0,1,0,0
