Plant Group,Components
PG1,S_product1
PG2,S_product2
PG3,S_product3
PG4,S_stack1_filled
PG5,S_stack2_filled
PG6,S_stack3_filled
PG7,S_Dinitialized
PG8,A_pusher1
PG9,A_pusher2
PG10,A_pusher3
PG11,"S_pusher1_in,S_pusher1_out,DDynamics1"
PG12,"S_pusher2_in,S_pusher2_out,DDynamics2"
PG13,"S_pusher3_in,S_pusher3_out,DDynamics3"
PG14,S_product4
PG15,S_gripper
PG16,S_vacuum
PG17,S_Hinitialized
PG18,A_x2distributing
PG19,A_x2testing
PG20,A_zdown
PG21,A_gripperclose
PG22,A_transfer2pickpos
PG23,A_transfer2droppos
PG24,A_vacuum
PG25,A_ejectpulse
PG26,"S_xpos_at1,S_xpos_at2,S_xpos_at3,S_xpos_atdrop,HDynamics1"
PG27,"S_zpos_atup,S_zpos_atdown,HDynamics3"
PG28,"S_transfer_atpickup,S_transfer_atdrop,S_transfer_athalfway,HDynamics2"
PG29,S_pusher
PG30,S_opticalT
PG31,S_capacitive
PG32,S_reflective
PG33,S_productheight
PG34,S_Tinitialized
PG35,A_elevator_up
PG36,A_elevator_down
PG37,A_pusher
PG38,A_airslide
PG39,"S_elevator_up,S_elevator_down,TDynamics"
PG40,TTimer
PG41,S_atin
PG42,S_atseparator
PG43,S_atend
PG44,S_Binitialized
PG45,A_separator
PG46,A_conveyerB
PG47,BTimer
PG48,"S_separator_opened,S_separator_closed,BDynamics"
PG49,S_atinput
PG50,S_attest
PG51,S_atdrill
PG52,S_atexit
PG53,S_clamp
PG54,S_test_ok
PG55,S_turntable
PG56,S_Pinitialized
PG57,A_drill
PG58,A_turntable
PG59,A_drilldown
PG60,A_drillup
PG61,A_clamp
PG62,A_tester
PG63,A_eject
PG64,PTimer
PG65,"S_drill_up,S_drill_down,PDynamics"
PG66,S_product
PG67,S_inductive
PG68,S_optical
PG69,S_slidefull
PG70,S_Sinitialized
PG71,A_conveyer
PG72,A_gate1
PG73,A_gate2
PG74,A_stopperretract
PG75,STimer
PG76,"S_gate1_opened,S_gate1_closed,SDynamics1"
PG77,"S_gate2_opened,S_gate2_closed,SDynamics2"
